2026-08-01 19:50:00 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | test | test cennika - zmiana treści
2026-08-01 19:50:23 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 19:54:40 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | test | test
2026-08-01 19:56:35 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 20:32:19 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 20:32:23 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | test | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 20:32:40 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 20:32:41 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 22:43:14 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 22:43:15 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 22:43:19 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | test | test
2026-08-01 22:46:57 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Tutaj będą ceny
2026-08-01 22:51:39 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Wizyta w klasztorze | 666 PLN
2026-08-01 22:55:43 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara
2026-08-01 22:56:11 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Wizyta w klasztorze | 666 PLN
2026-08-01 22:58:02 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara gra
2026-08-01 22:58:11 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Wizyta w klasztorze | 666 PLN
2026-08-01 22:59:27 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara gra
2026-08-01 22:59:31 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Wizyta w klasztorze | 666 PLN
2026-08-01 23:08:35 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara gra
2026-08-01 23:10:11 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Ale fajnie działa | 10 zł
2026-08-01 23:10:30 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Ale fajnie działa | 10 zł
2026-08-01 23:24:05 | MpFizAdm | 94.246.142.199 | Edycja pozycji | chochlik | 150 PLN
2026-08-01 23:35:22 | MpFizAdm | 94.246.142.199 | Dodanie nowej pozycji | ale jajca działa dodawanie | 66666
2026-08-01 23:37:07 | MpFizAdm | 94.246.142.199 | Usunięcie pozycji | Kinesiotaping | 
2026-08-01 23:37:33 | MpFizAdm | 94.246.142.199 | Nagłówek cennika |  | gitara gra
2026-08-01 23:37:41 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara gra
2026-08-01 23:38:57 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Test zmian | dzieje się
2026-08-01 23:39:40 | MpFizAdm | 94.246.142.199 | Dodanie nowej pozycji | Nowa pozycja | 170 zł
2026-08-01 23:40:38 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Edycja | 170 zł
2026-08-01 23:40:53 | MpFizAdm | 94.246.142.199 | Usunięcie pozycji | chochlik | 
2026-08-02 09:50:34 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Główny tytuł i opis | Tytuł: -> Tytuł: Cennik
2026-08-02 09:51:08 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Pozycja | Logi są wszędzie |  -> 10 zł
2026-08-02 09:52:53 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Główny tytuł i opis | Tytuł: -> Tytuł: sprawdź tytuł główny
2026-08-02 09:53:45 | MpFizAdm | 94.246.142.199 | Cennik | Dodanie | Pozycja | 222 |  -> 4444
2026-08-02 09:54:22 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | Ale fajnie działa | 40 zł -> 
2026-08-02 09:57:45 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Tytuł, opis | Tytuł: sprawdź tytuł główny -> Tytuł: sprawdź tytuł główny
2026-08-02 10:00:27 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Tytuł, opis | Tytuł: sprawdź tytuł główny -> Tytuł: nowy tytuł
2026-08-02 10:01:29 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Tytuł, opis | Tytuł: nowy tytuł -> Tytuł: jeszcze nowy tytuł
2026-08-02 10:07:08 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | jeszcze nowy tytuł [;] nowy opis -> Zmiana tytułu [;] Zmiana opisu
2026-08-03 14:13:42 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta.webp","new":"img\/photos\/marta_profile_1785672068.jpg"}}
2026-08-03 14:13:42 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":6,"new":6}}
2026-08-03 14:14:10 | MpFizAdm | 94.246.142.199 | O mnie | Aktualizacja | Zdjęcie | {"plik":{"old":"img\/photos\/marta_profile_1785672068.jpg","new":"img\/photos\/marta_profile_1785759250.png"}}
2026-08-03 14:14:10 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":6,"new":6}}
2026-08-03 14:14:25 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":6,"new":1}}
2026-08-03 14:14:32 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 14:14:40 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":0}}
2026-08-03 14:15:00 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":0,"new":1}}
2026-08-03 14:20:43 | MpFizAdm | 94.246.142.199 | O mnie | Aktualizacja | Zdjęcie | {"plik":{"old":"img\/photos\/marta_profile_1785759250.png","new":"img\/photos\/marta_profile_1785759643.png"}}
2026-08-03 14:20:43 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 14:34:21 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 15:13:04 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta_profile_1785759643.png","new":"img\/photos\/marta_profile_1785672068.jpg"}}
2026-08-03 15:13:04 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 15:13:57 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"poznaj mnie","new":"poznaj mnie"},"liczba akapitów":{"old":3,"new":3}}
2026-08-03 15:14:01 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta_profile_1785672068.jpg","new":"img\/photos\/marta.webp"}}
2026-08-03 15:14:01 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 16:24:18 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta.webp","new":"img\/photos\/marta_profile_1785671637.png"}}
2026-08-03 16:24:18 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 16:24:43 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 16:25:14 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta_profile_1785671637.png","new":"img\/photos\/marta_profile_1785759643.png"}}
2026-08-03 16:25:14 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 16:25:23 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta_profile_1785759643.png","new":"img\/photos\/marta.webp"}}
2026-08-03 16:25:23 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 16:26:05 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta.webp","new":"img\/photos\/marta.webp"}}
2026-08-03 16:26:05 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-03 16:27:07 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta.webp","new":"img\/photos\/marta.webp"}}
2026-08-03 16:27:07 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":1,"new":3}}
2026-08-03 16:27:32 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"Na czym skupiam się"},"liczba punktów listy":{"old":3,"new":3}}
